,lat,lng
1112,12.5488,55.6697
1113,12.5489,55.6692
1116,12.5489,55.6689
1117,12.549,55.6686
1118,12.549,55.6684
1119,12.549,55.6683
1120,12.5491,55.6681
1121,12.5491,55.668
1123,12.5491,55.6679
1125,12.5491,55.6678
1127,12.5491,55.6676
1128,12.5492,55.6675
1129,12.5492,55.6672
1130,12.5492,55.667
1133,12.5492,55.6669
1135,12.5492,55.6668
1137,12.5493,55.6667
1138,12.5493,55.6666
1139,12.5493,55.6662
1140,12.5493,55.6661
1141,12.5494,55.6657
1142,12.5494,55.6655
1143,12.5483,55.6722
1146,12.5484,55.6719
1147,12.5485,55.6714
1148,12.5486,55.6708
1149,12.5486,55.6706
1150,12.5487,55.6702
1151,12.5487,55.6699
1152,12.5487,55.6698
1153,12.5889,55.6896
1154,12.5885,55.6897
1156,12.5883,55.6897
1157,12.5878,55.6899
1159,12.5873,55.69
1160,12.5871,55.69
1162,12.587,55.6901
1164,12.5868,55.6901
1165,12.5866,55.6902
1166,12.5864,55.6902
1167,12.5863,55.6902
1168,12.5862,55.6903
1169,12.6145,55.6666
1170,12.6148,55.6662
1171,12.615,55.666
1172,12.6154,55.6655
1173,12.6156,55.6652
1175,12.6157,55.6651
1176,12.6163,55.6643
1177,12.6167,55.6637
1178,12.617,55.6634
1180,12.6173,55.6629
1181,12.6175,55.6627
1184,12.616,55.6665
1185,12.6161,55.6665
1187,12.6179,55.6663
1189,12.6187,55.6662
1191,12.6201,55.666
1193,12.6206,55.666
1194,12.6207,55.666
1195,12.5768,55.7083
1197,12.576,55.7079
1198,12.5712,55.6754
1203,12.5719,55.6751
1204,12.5722,55.6749
1205,12.5725,55.6748
1206,12.573,55.6745
1207,12.5731,55.6745
1209,12.5732,55.6744
1210,12.5736,55.6742
1211,12.5737,55.6741
1212,12.5739,55.6741
1213,12.5741,55.6739
1215,12.6158,55.6652
1217,12.6165,55.6654
1219,12.6166,55.6654
1221,12.617,55.6655
1222,12.6172,55.6656
1223,12.6175,55.6657
1224,12.6185,55.6661
1225,12.5987,55.6665
1228,12.599,55.6665
1229,12.6001,55.6668
1230,12.6001,55.6669
1231,12.6002,55.6669
1232,12.6011,55.6671
1234,12.6016,55.6673
1235,12.603,55.6678
1236,12.6035,55.668
1237,12.6038,55.6681
1239,12.604,55.6682
1242,12.5972,55.6651
1243,12.5979,55.6652
1244,12.598,55.6652
1245,12.5983,55.6653
1246,12.5471,55.668
1247,12.547,55.668
1248,12.5468,55.668
1249,12.5463,55.668
1250,12.546,55.668
1251,12.6156,55.667
1253,12.6153,55.6674
1254,12.6151,55.6677
1255,12.6142,55.662
1256,12.6144,55.662
1257,12.615,55.6621
1259,12.6158,55.6623
1260,12.6159,55.6623
1262,12.6161,55.6624
1263,12.6167,55.6625
1265,12.6176,55.6626
1267,12.6178,55.6627
1268,12.6179,55.6627
1269,12.6182,55.6628
1270,12.6186,55.6629
1272,12.6187,55.6629
1273,12.62,55.6632
1274,12.6202,55.6632
1276,12.6217,55.6635
1278,12.6221,55.6636
1279,12.6227,55.6637
1281,12.5536,55.6942
1282,12.5532,55.6945
1284,12.5528,55.6949
1286,12.5527,55.695
1288,12.5526,55.6955
1289,12.5836,55.6861
1294,12.584,55.6866
1295,12.5841,55.6867
1297,12.5844,55.687
1299,12.5846,55.6873
1301,12.5847,55.6874
1305,12.5848,55.6874
1306,12.585,55.6877
1308,12.5852,55.688
1310,12.5855,55.6883
1312,12.5857,55.6886
1313,12.5443,55.6704
1314,12.5435,55.6702
1316,12.5426,55.6699
1318,12.5419,55.6697
1319,12.5418,55.6697
1320,12.5745,55.6762
1321,12.574,55.6759
1324,12.5564,55.6833
